Metro,Total,Occupied,Vacant
"Baltimore-Columbia-Towson, MD",1190095,1100767,89328
"Birmingham-Hoover, AL",487824,440912,46912
"Cincinnati, OH-KY-IN",957458,890439,67019
"Denver-Aurora-Lakewood, CO",1242492,1167462,75030
"Kansas City, MO-KS",938503,868375,70128
"Las Vegas-Henderson-Paradise, NV",917656,845888,71768
"Memphis, TN-MS-AR",565930,516751,49179
"Milwaukee-Waukesha-West Allis, WI",693765,651032,42733
"Minneapolis-St. Paul-Bloomington, MN-WI",1503829,1434315,69514
"New Orleans-Metairie, LA",571914,512253,59661
"Oklahoma City, OK",607725,552514,55211
"Pittsburgh, PA",1124531,1024382,100149
"Portland-Vancouver-Hillsboro, OR-WA",1033420,979213,54207
"Raleigh, NC",576280,542396,33884
"Richmond, VA",551968,518667,33301
"Rochester, NY",489463,450845,38618
"San Antonio-New Braunfels, TX",1015678,925609,90069
"San Jose-Sunnyvale-Santa Clara, CA",708400,675547,32853
"Cleveland-Elyria, OH",972047,,
"Tampa-St. Petersburg-Clearwater, FL",1465158,1307725,157433